figure,panel,endpoint,planned_mouse_slot,group,planned_n,measured,included_in_analysis,exclusion_or_missing_reason,notes,selection_status,missing_reason,exclusion_status
Figure 9,A,GART MFI,CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART MFI,CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART MFI,CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART MFI,CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART MFI,CTRL_05,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART MFI,CTRL_06,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART MFI,DSS_01,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART MFI,DSS_02,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART MFI,DSS_03,Model,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART MFI,DSS_04,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART MFI,DSS_05,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART MFI,DSS_06,Model,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
Figure 9,A,GART+Ki67+ cells (%),CTRL_01,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+Ki67+ cells (%),CTRL_02,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+Ki67+ cells (%),CTRL_03,Control,6,Yes,Yes,NA,One distinct individual mouse; multiple fields of view averaged within mouse before analysis.,Randomly selected imaging subset,NA,Not excluded
Figure 9,A,GART+Ki67+ cells (%),CTRL_04,Control,6,No,No,Not selected for this imaging endpoint,"Animal remained in the original cohort and was not an experimental exclusion, missing animal, or failed measurement.",Not selected for this imaging endpoint,Not applicable,Not excluded
