"record_type","label","estimand","inference_method","OR","CI_low","CI_high","P_value","donor_count","role_in_interpretation"
"inference_method","Equal donor - asymptotic z","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","weighted logistic GLM with donor-cluster robust SE",2.08287199579364,1.00960037808643,4.29710194748954,0.0470489699094573,33,"Archived nominally significant asymptotic inference; not the finite-cluster result"
"inference_method","Equal donor - finite-cluster GEE","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","inverse-cluster-size weighted GEE; independence working correlation; robust sandwich scaled by G/(G-p), t reference with G-p df",2.08287199612747,0.89712339100056,4.83585178557599,0.0850092319441369,33,"Locked candidate revised primary; finite-cluster small-sample inference"
"inference_method","Equal donor - survey design-based","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","survey-weighted quasibinomial logistic regression; donor PSU; design-based residual degrees of freedom",2.08287199610967,0.97482285846086,4.45040420885049,0.0576134140307984,33,"Design-based sensitivity analysis"
"inference_method","Equal donor - CR2/Satterthwaite","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","weighted quasibinomial GLM; donor-cluster CR2 covariance; Satterthwaite test",2.08287199579363,0.847117024465819,5.12131810076304,0.100651287121758,33,"CR2/Satterthwaite small-sample sensitivity analysis"
"inference_method","Donor-random-intercept GLMM","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","donor-random-intercept GLMM; archived frozen result",2.41278720404255,0.848124203684516,6.86402070203972,0.0987003822894522,33,"Frozen cell-weighted donor-conditional comparator"
"leave_one_donor_out","Omit GSE214695_HC2","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","Finite-cluster equal-donor independence estimating equation after omitting one donor",1.88396295118017,0.794762472965683,4.46588323197384,0.143227345633907,32,"Donor-influence sensitivity; all 33 estimates retained"
"leave_one_donor_out","Omit GSE214695_HC3","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","Finite-cluster equal-donor independence estimating equation after omitting one donor",2.20942548682084,0.840484667210189,5.80803097576641,0.103609465411529,32,"Donor-influence sensitivity; all 33 estimates retained"
"leave_one_donor_out","Omit GSE214695_HC4","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","Finite-cluster equal-donor independence estimating equation after omitting one donor",2.32332686572741,0.925948911101137,5.82953083080104,0.0707838445116572,32,"Donor-influence sensitivity; all 33 estimates retained"
"leave_one_donor_out","Omit GSE214695_HC5","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","Finite-cluster equal-donor independence estimating equation after omitting one donor",1.77589763101882,0.762523261239838,4.13602122869047,0.174079873251995,32,"Donor-influence sensitivity; all 33 estimates retained"
"leave_one_donor_out","Omit GSE214695_HC6","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","Finite-cluster equal-donor independence estimating equation after omitting one donor",2.58506999341717,1.07005510788761,6.24508665171263,0.0358964894262753,32,"Donor-influence sensitivity; all 33 estimates retained"
"leave_one_donor_out","Omit GSE214695_UC1","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","Finite-cluster equal-donor independence estimating equation after omitting one donor",2.33723966393379,1.00221572422601,5.45061219318234,0.0494483160752222,32,"Donor-influence sensitivity; all 33 estimates retained"
"leave_one_donor_out","Omit GSE214695_UC2","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","Finite-cluster equal-donor independence estimating equation after omitting one donor",2.25506920381456,0.957526383558321,5.31091069793286,0.0618283377396877,32,"Donor-influence sensitivity; all 33 estimates retained"
"leave_one_donor_out","Omit GSE214695_UC3","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","Finite-cluster equal-donor independence estimating equation after omitting one donor",2.21324516427297,0.924398534332185,5.29907174800584,0.072650421168755,32,"Donor-influence sensitivity; all 33 estimates retained"
"leave_one_donor_out","Omit GSE214695_UC4","Average-donor, population-averaged association between UC and raw-count GART detection in ISC-like epithelial cells","Finite-cluster equal-donor independence estimating equation after omitting one donor",2.16297897543676,0.920968227580502,5.07995597250123,0.0745524511745903,32,"Donor-influence sensitivity; all 33 estimates retained"
